exch_epoch,bid_1_price,bid_2_price,bid_3_price,bid_4_price,bid_5_price,bid_6_price,bid_7_price,bid_8_price,bid_9_price,bid_10_price,ask_1_price,ask_2_price,ask_3_price,ask_4_price,ask_5_price,ask_6_price,ask_7_price,ask_8_price,ask_9_price,ask_10_price,bid_1_qty,bid_2_qty,bid_3_qty,bid_4_qty,bid_5_qty,bid_6_qty,bid_7_qty,bid_8_qty,bid_9_qty,bid_10_qty,ask_1_qty,ask_2_qty,ask_3_qty,ask_4_qty,ask_5_qty,ask_6_qty,ask_7_qty,ask_8_qty,ask_9_qty,ask_10_qty
1698822302228339000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,3,83,257,160,172,233,157,158,3944,25909,165,475,162,157,162,397,157,498
1698822302230091000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,3,83,257,160,172,233,157,158,3944,25909,365,275,162,157,162,397,157,498
1698822302230198000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,3,83,257,160,172,333,157,158,3944,25909,365,357,162,157,162,397,157,498
1698822302230678000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,3,83,157,160,172,333,157,158,3944,25909,365,357,162,157,162,397,157,498
1698822302231484000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,3,83,157,160,172,333,157,158,3944,25909,365,275,162,157,162,397,157,498
1698822302231606000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,85,83,157,160,172,333,157,158,3944,25909,365,275,162,157,162,397,157,498
1698822302232366000,26847,26846,26845,26844,26843,26842,26841,26840,26839,26838,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,60,164,85,83,157,160,207,298,157,158,3944,25909,365,275,162,157,162,397,157,498
1698822302236002000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,164,85,83,157,160,207,298,157,158,357,3944,25909,365,275,162,157,162,397,157,498
1698822302236232000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26850,26853,26854,26855,26856,26857,26858,26859,26860,164,3,83,157,160,207,298,157,158,357,3944,25909,365,275,162,157,162,397,157,498
1698822302238401000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26848,26849,26850,26853,26854,26855,26856,26857,26858,26859,164,3,83,157,160,172,333,157,158,357,3944,200,25709,365,275,162,157,162,397,157
1698822302258819000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26853,26854,26855,26856,26857,26858,164,3,83,157,160,172,333,157,158,357,334,3944,200,25709,365,275,162,157,162,397
1698822302259120000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,157,160,207,298,157,158,357,334,3944,200,25709,75,365,275,162,157,162
1698822302259397000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,157,195,172,298,157,158,357,334,3944,200,25709,75,365,275,162,157,162
1698822302259602000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,157,195,172,298,157,158,357,334,3982,200,25671,75,365,275,162,157,162
1698822302260570000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,158,357,334,3982,200,25671,75,365,275,162,157,162
1698822302293269000,26846,26845,26844,26843,26842,26841,26840,26839,26838,26837,26847,26848,26849,26850,26852,26853,26854,26855,26856,26857,164,3,83,192,160,172,298,157,158,357,316,3982,200,25671,75,365,275,162,157,162
